cm433fr7636,https://purl.stanford.edu/cm433fr7636,Yellow Ware Bowl base,su:ACLQ_2017_0003,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,,item,3d,3,Accessioned,world,5,5,5,146 MB,152981953,
cn362nj0131,https://purl.stanford.edu/cn362nj0131,"Bison (Bison bison), adult female, fused 2nd and 3rd tarsal right",su:ANTH_bison_edu_10008_cr,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,2,Accessioned,world,5,2,5,204 MB,213420663,
cr303yt7341,https://purl.stanford.edu/cr303yt7341,Painted flower cup,su:ACLQ_Rutherford_104a,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,,item,3d,3,Accessioned,world,5,5,5,94.5 MB,99134844,
cv208mv5449,https://purl.stanford.edu/cv208mv5449,"Bison (Bison bison), adult female, pisiform, right",su:ANTH_bison_edu_10008_ct,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,2,Accessioned,world,5,2,5,230 MB,240776238,
cw938gj8666,https://purl.stanford.edu/cw938gj8666,Pyramid of Sekhemkhet,sup:Sekhemkhet_Pyramid,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,6,Accessioned,world,6,4,6,1.01 MB,1055821,
cy849sz3750,https://purl.stanford.edu/cy849sz3750,brown pot base,su:ACLQ_Rutherford_123,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,,item,3d,3,Accessioned,world,5,5,5,116 MB,121488070,
db634kw5872,https://purl.stanford.edu/db634kw5872,Pyramid of Aba/Ibi,sup:Aba_Pyramid,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,6,Accessioned,world,6,3,6,1.94 MB,2031767,
dd880jq2694,https://purl.stanford.edu/dd880jq2694,Tomb of Mes (Tomb 5 of Loret),sup:Mes,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,6,Accessioned,world,8,4,8,1.07 MB,1116849,
df781kq7003,https://purl.stanford.edu/df781kq7003,Mastaba X,sup:TombX,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,7,Accessioned,world,5,5,5,454 KB,464979,
dm208nm0076,https://purl.stanford.edu/dm208nm0076,Tomb S3357,sup:3357,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,6,Accessioned,world,5,5,5,1010 KB,1034036,
dm339rp1187,https://purl.stanford.edu/dm339rp1187,"Northern Animal Necropolis, Phase I",sup:SAN,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,6,Accessioned,world,10,5,10,1.07 MB,1122135,
dm602jp0246,https://purl.stanford.edu/dm602jp0246,"Bison (Bison bison), adult female, 2nd thoracic vertebra",su:ANTH_bison_edu_10008_ar,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,2,Accessioned,world,5,2,5,57.2 MB,59984583,
dr116ws6940,https://purl.stanford.edu/dr116ws6940,Tomb of Iniuia,sup:Iniuia,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,6,Accessioned,world,11,4,11,1.91 MB,2007934,
dr870cq6274,https://purl.stanford.edu/dr870cq6274,"Bison (Bison bison), adult female, right astragalus",su:ANTH_bison_edu_10008_ag,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,2,Accessioned,world,5,2,5,232 MB,243246598,
dv768zd1070,https://purl.stanford.edu/dv768zd1070,"Bison (Bison bison), adult female, calcaneous left",su:ANTH_bison_edu_10008_bb,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,2,Accessioned,world,5,2,5,102 MB,106748416,
dv883qy0113,https://purl.stanford.edu/dv883qy0113,Tomb of Amenemone (Tomb 2 of Loret),sup:Amenemone_18,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,6,Accessioned,world,12,5,12,2.75 MB,2886427,
ff463xs3007,https://purl.stanford.edu/ff463xs3007,"Bison (Bison bison), adult female, right  metatarsal",su:ANTH_bison_edu_10008_ai,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,2,Accessioned,world,5,2,5,133 MB,139780821,
fg001cn4471,https://purl.stanford.edu/fg001cn4471,"Bison (Bison bison), adult female, 1st phalanx left (1)",su:ANTH_bison_edu_10008_bj,info:fedora/druid:fv454nq4574,3D Objects for Anthropology and Archaeology,Krish Seetah Bones Collection,item,3d,2,Accessioned,world,5,2,5,169 MB,177563265,
fg223vh9256,https://purl.stanford.edu/fg223vh9256,Pyramid of Neferirkare,sup:Neferirkare_Pyramid,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,6,Accessioned,world,6,4,6,828 KB,848312,
fh129xw6834,https://purl.stanford.edu/fh129xw6834,Tomb of Pay and Raia,sup:Pay_Raia,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,6,Accessioned,world,11,4,11,3.08 MB,3231020,
fp375qc0402,https://purl.stanford.edu/fp375qc0402,ST 218,sup:Nebnefer_Mahu_ST218,info:fedora/druid:sr199zw3981,Constructing the Sacred Media,Constructing the Sacred Archive,item,3d,6,Accessioned,world,12,4,12,2.75 MB,2878877,
